"Var1","Var2","Var3","Var4","PA_percentage_correct","OC_percentage_correct","AF_percentage_correct","KG_percentage_correct","CV_percentage_correct"
25,3,10,0.01,74,84,80,100,100
50,3,10,0.01,98,76,96,100,100
100,3,10,0.01,100,42,100,100,100
25,3,20,0.01,98,98,92,100,100
50,3,20,0.01,100,94,100,100,100
100,3,20,0.01,100,84,100,100,100
25,3,10,0.1,62,0,46,0,12
50,3,10,0.1,100,0,58,0,10
100,3,10,0.1,100,0,82,0,12
25,3,20,0.1,86,10,64,10,80
50,3,20,0.1,100,0,92,0,94
100,3,20,0.1,100,0,98,0,98
25,3,10,0.15,58,0,24,0,4
50,3,10,0.15,100,0,14,0,4
100,3,10,0.15,92,0,6,0,0
25,3,20,0.15,94,2,46,0,40
50,3,20,0.15,100,0,72,0,44
100,3,20,0.15,92,0,96,0,44
